tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
ABALROAMENTO LONGITUDINAL;FINALIZADA;01/04/2019;14:14:00;IMBIRIBEIRA;VIADUTO TANCREDO NEVES;;ALÇA DE ACESSO A AVENIDA MASCARENHAS DE MORAIS;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/04/2019;14:22:00;GRAÇAS;RUA ANTONIO NOVAIS;75;PIZZARIA DOMINO'S;COLISÃO TRASEIRA;COLISÃO SEM COLISÃO;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/04/2019;14:34:00;GRAÇAS;AV GOVERNADOR AGAMENON MAGALHAES;3835;BANCO DO BRASIL;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;01/04/2019;14:35:00;PINA;AV BOA VIAGEM;914;QUADRA DE TÊNIS;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/04/2019;14:44:00;CORDEIRO;AV GENERAL SAN MARTIN;;APÓS O SEMÁFORO 058 / AO LADO DO COMPAZ;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;01/04/2019;15:07:00;SANTO AMARO;AV CRUZ CABUGA;343;Nº 347;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMAS ENVOLVENDO CINCO VEÍCULOS;4;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;01/04/2019;15:08:00;SANTO ANTÔNIO;PTE CONDE MAURICIO DE NASSAU;;SEMÁFORO 194;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;01/04/2019;15:25:00;IPSEP;RUA RIO AMAZONAS;;E/F A PADARIA AMAZONAS;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE ONIBUS E AUTOS S/V;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/04/2019;15:26:00;IMBIRIBEIRA;RUA ARQUITETO LUIZ NUNES;;EM FRENTE AO BAR DO EDSON;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;3;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/04/2019;15:47:00;DERBY;PRC DO DERBY;;LADO OPOSTO A PRAÇ ADO DERBY;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;01/04/2019;16:09:00;IPSEP;RUA IRAPUA;420;PROX AO ANTIGO 19 BATALHAO;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE AUTO E MOTO COM UMA VITIMA;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;01/04/2019;16:18:00;CAXANGÁ;AV PROFESSOR MORAES REGO;;AO LADO DO POSTO DE COMBUSTIVEL DA PETROBRAZ, E A SUPRANOR;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;;1;;;0;
COLISÃO;CANCELADA;01/04/2019;16:33:00;IMBIRIBEIRA;RUA ANTONIO FALCAO;113 A;EM FRENTE AO POSTO IPIRANGA, SENTIDO IPSEP;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;01/04/2019;16:49:00;AFOGADOS;RUA SAO MIGUEL;268;E/F AO DEPATRI;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE AUTO E ONIBUS S/V;1;;;;;1;;;;0;
COLISÃO;CANCELADA;01/04/2019;17:01:00;CIDADE UNIVERSITÁRIA;AV REITOR JOAQUIM AMAZONAS;;NO GIRADOR DA REITORIA DA UNIVERSIDADE FEDERAL;COLISÃO;COLISÃO SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO;CANCELADA;01/04/2019;17:23:00;VÁRZEA;AV INACIO DE BARROS BARRETO;384;NA RUA DO MUSEU DO BRENNAND;COLISÃO;COLISAO ENTRE AUTO E CAMINHAO S/V;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;01/04/2019;18:22:00;ARRUDA;AV BEBERIBE;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;01/04/2019;19:20:00;CORDEIRO;AV CAXANGA;1314;DIGITAL CENTER ASSISTÊNCIA TÉCNICA;ABALROAMENTO LONGITUDINAL;"ENTRE AUTO PASSEIO E ÔNIBUS; S/V";1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/04/2019;20:10:00;TORRE;RUA CONDE DE IRAJA;330;SAMSUNG SYSTE CELL;COLISÃO TRASEIRA;HONDA CIT X HB 20;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;01/04/2019;21:06:00;TORRE;AV BEIRA RIO;;CURVA DA COMPESA;COLISÃO TRASEIRA;SIENA X FORD K;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;06:25:00;BOA VISTA;RUA DO PRINCIPE;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;06:54:00;AREIAS;AV RECIFE;;ARMAZEM CORAL;COLISÃO TRASEIRA;TRES AUTOS;3;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/04/2019;07:11:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;ESCOLA MUNICIPAL OSWALDO LIMA FILHO;ABALROAMENTO TRANSVERSAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;07:35:00;CASA AMARELA;AV PROFESSOR JOSE DOS ANJOS;;;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;09:06:00;PRADO;RUA MANOEL DE ARRUDA CAMARA;120;;ABALROAMENTO LONGITUDINAL;AUTO E ONIBUS;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;10:59:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;EM FRENTE AO SPETTOS;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE AUTOMÓVEL E MOTOCICLETA.;1;1;;;;;;;;1;
;FINALIZADA;02/04/2019;11:21:00;BAIRRO DO RECIFE;AV MILITAR;550;POSTE DE ILUMINAÇÃO PÚBLICA B 018834 EM FRENTE AO POSTO DE Nº 550;;AUTO E MOTO;1;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;11:24:00;DERBY;RUA JENER DE SOUZA;;;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;02/04/2019;11:52:00;BOA VIAGEM;RUA PROFESSOR AUGUSTO LINS E SILVA;125;EM FRENTE AO ESPAÇO INFANTIL ADOLETA;COLISÃO;CAMINHÃO E AUTO;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;11:41:00;SANTO ANTÔNIO;AV MARTINS DE BARROS;;EM FRENTE AO BANCO SANTANDER;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;CANCELADA;02/04/2019;12:28:00;CASA AMARELA;AV PEDRO ALLAIN;80;EM FRENTE A GALERIA CAIRUTAS;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ATROPELAMENTO;CANCELADA;02/04/2019;12:35:00;BOA VIAGEM;AV BOA VIAGEM;;NO SEMAFORO 001 E/F AO PARQUE DONA LINDÚ;ATROPELAMENTO;ATROPELAMENTO VEICULO E PEDESTRE;1;;;;1;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;12:36:00;SAN MARTIN;AV ENGENHEIRO ABDIAS DE CARVALHO;899;EM FRENTE A FUNASE;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;02/04/2019;12:45:00;AREIAS;AV RECIFE;832;EM FRENTE A FARMACIA PAGUE MENOS;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;12:51:00;GRAÇAS;AV CONS ROSA E SILVA;;E/F AO CAFÉ CAFÉ;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE DOIS AUTOS S/V;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/04/2019;12:54:00;SANTO AMARO;RUA DOS PALMARES;;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMAS;1;1;;;;;;;;0;
ATROPELAMENTO;FINALIZADA;02/04/2019;13:25:00;SANTO ANTÔNIO;AV DANTAS BARRETO;321;PRAÇA DO DIARIO. EM FRENTE A SUBWAY.;ATROPELAMENTO;ATROPELAMENTO ENTRE ÔNIBUS E PEDESTRE.;;;;;1;1;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;13:55:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;2205;BANCO BRADESCO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/04/2019;14:05:00;BOA VISTA;RUA HENRIQUE DIAS;895A;E/F AO EXTRA SUPERMERCADO;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE CAMINHAO E AUTO S/V;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;14:44:00;MADALENA;RUA BENFICA;;EM FRENTE AO POSTO BR;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/04/2019;15:13:00;IMBIRIBEIRA;AV GENERAL MAC ARTHUR;;SEMÁFORO 402;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;15:14:00;VASCO DA GAMA;RUA VASCO DA GAMA;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;16:19:00;ROSARINHO;AV NORTE;3435;EM FRENTE AO Nº 3435;ABALROAMENTO LONGITUDINAL;COLISIÃO DE DOIS AUTO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;16:23:00;ILHA DO RETIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;;EM FRENTE AO SPORT;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;3;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;16:46:00;CASA AMARELA;AV NORTE;6139;EM FRENTE AO Nº 6139;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;17:13:00;CAXANGÁ;RUA ENGENHO POETA;;AO LADO DA MULT AVE SAUDE AMBIENTAL. PRÓXIMO AO CAXANGÁ COUNTRY GOLF CLUB.;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE DUAS MOTOCICLETAS.;;2;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;17:17:00;CABANGA;VIADUTO CAPITAO TEMUDO;;SOBRE O VIADUTO;COLISÃO TRASEIRA;DOIS AUTOS PASSEIO;2;;;;;;;;;2;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/04/2019;18:10:00;SANTO ANTÔNIO;AV GUARARAPES;;EM FRENTE AOS CORREIOS;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE AUTOMÓVEL E MOTOCICLETA.;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;18:20:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;EM FRENTE AO BRADESCO;ABALROAMENTO LONGITUDINAL;ONIBUS E AUTO SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;18:26:00;TORRE;RUA JOSE BONIFACIO;636;ENF AO CARLITOS BURGUER;COLISÃO TRASEIRA;HB 20 X SIENA;2;;;;;;;;;0;
COLISÃO;CANCELADA;02/04/2019;18:38:00;CAMPINA DO BARRETO;RUA TENENTE WANDERLEY;669;NO TERMINAL DA CAMPINA DO BARRETO;COLISÃO;ONIBUS E AUTO SEM VITIMAS;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;02/04/2019;19:04:00;CORDEIRO;RUA TAMBORIL;66;;ABALROAMENTO TRANSVERSAL;VAN ESCOLA X HONDA CIT;1;;;;;1;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;02/04/2019;19:14:00;CASA FORTE;RUA DONA ADA VIEIRA;120;BUFFET PORTO FINO;COLISÃO COM CICLISTA;COLISÃO ENTRE AUTOMÓVEL E BICICLETA.;1;;;1;;;;;;2;
COLISÃO TRASEIRA;FINALIZADA;02/04/2019;20:02:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;4650;EM FRENTE AO Nº 4650;COLISÃO TRASEIRA;COLISÃO AUTO E ONIBUS;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;22:31:00;IPUTINGA;AV CAXANGA;;;ABALROAMENTO LONGITUDINAL;VAN ESCOLAR X FIAT UNO;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;02/04/2019;22:49:00;VÁRZEA;RUA GENERAL POLIDORO;;AO LADO ACADEMIA REEF;ABALROAMENTO LONGITUDINAL;DOIS AUTOS PASSEIO;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/04/2019;06:35:00;AFOGADOS;RUA PROFESSOR AUGUSTO WANDERLEY FILHO;4631;EM FRENTE AO TRT-6º REGIAO;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/04/2019;06:51:00;BOA VISTA;RUA JOSE DE ALENCAR;137;EM FRENTE AO EDF JOSE DE ALENCAR;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE DOIS AUTOMÓVEIS.;2;;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;03/04/2019;08:11:00;BOA VIAGEM;AV BOA VIAGEM;5740;EM FRENTE AO EDF. MANOEL DE BRITO;COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/04/2019;09:58:00;DERBY;PRC DO DERBY;;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/04/2019;10:38:00;ILHA DO RETIRO;RUA SPORT CLUBE DO RECIFE;;EM FRENTE AO RESTAURANTE VARANDA;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/04/2019;10:48:00;CORDEIRO;RUA ODETE MONTEIRO;96;;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;03/04/2019;10:50:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENTE AO AEROPORTO INTERNACIONAL DO RECIFE.;CHOQUE OBJETO FIXO;CHOQUE ENTRE MOTOCICLETA E OBJETO FIXO NÃO INFORMADO.;;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;10:59:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;EM FRENTE AO HOSPITAL DA RESTAURAÇÃO;ABALROAMENTO LONGITUDINAL;SEM VITMAS;3;;;;;;;;;0;
COLISÃO;CANCELADA;03/04/2019;11:26:00;BAIRRO DO RECIFE;CAIS DA ALFANDEGA;27;AO LADO DO PREDIO DA VOTORANTIM;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/04/2019;12:07:00;SANTO AMARO;RUA TREZE DE MAIO;914A;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;12:11:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;1800;NA FRENTE DO MINISTERIO PÚBLICO FEDERAL;ABALROAMENTO LONGITUDINAL;COLISA SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/04/2019;14:07:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;E/F AO POSTO BR;COLISÃO TRASEIRA;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/04/2019;14:21:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;1140;PRÓXIMO AO PARQUE DONA LINDU;COLISÃO TRASEIRA;ENGAVETAMENTO DE TRES VEICULOS;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;14:43:00;IPUTINGA;AV CAXANGA;;SOB O VIADUTO DA BR 101;ABALROAMENTO LONGITUDINAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;16:30:00;MADALENA;RUA BENFICA;1015;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/04/2019;16:54:00;ENGENHO DO MEIO;RUA MAURICEIA;;AO LADO DA SUDENE;COLISÃO;COLISÃO SEM VÍTIMA;;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;17:05:00;ROSARINHO;RUA DES MARTINS PEREIRA;344;VIAJE COM DARCY;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/04/2019;17:34:00;PONTO DE PARADA;RUA PROFESSOR JERONIMO GUEIROS;;;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/04/2019;17:59:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;NA DESCIDA DA PONTE MOTOCOLOMBÓ, SNT CENTRO - BV;COLISÃO;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;03/04/2019;19:06:00;VÁRZEA;AV AFONSO OLINDENSE;45;E/F AO DESAFIO JOVEM / PRÓX A PRC DA VÁRZEA;COLISÃO;"ENTRE CAMINHÃO E AUTO;";1;;;;;;1;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/04/2019;18:47:00;ENCRUZILHADA;RUA INACIO GALVAO DOS SANTOS;;PRAÇA DON MIGUEL VALVERDE;ABALROAMENTO TRANSVERSAL;COLISÃO ENTRE AUTOMÓVEL E MOTOCICLETA.;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;19:00:00;IMBIRIBEIRA;AV DOM JOAO VI;20;PROX AO POSTO BR;ABALROAMENTO LONGITUDINAL;MERCEDES X TUCSON;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;19:35:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;7935;V.A FREIOS E DIREÇÕES HIDRÁULICAS;ABALROAMENTO LONGITUDINAL;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;19:54:00;IMBIRIBEIRA;AV DOM JOAO VI;20;ESQUINA COM O POSTO BR;ABALROAMENTO LONGITUDINAL;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/04/2019;20:04:00;BOA VISTA;RUA DOM BOSCO;;AO LADO DA DROGASIL;COLISÃO TRASEIRA;ENTRE AUTO PASSEIO E ÔNIBUS. S/V;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;03/04/2019;20:11:00;SAN MARTIN;AV GENERAL SAN MARTIN;;RUA APULCRO DE ASSUNÇÃO;ABALROAMENTO TRANSVERSAL;HB 20 X ONIX;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;20:25:00;IMBIRIBEIRA;RUA GENERAL GOES MONTEIRO;182;ADVOGADOS ARAUJO E MOURA;ABALROAMENTO LONGITUDINAL;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/04/2019;20:43:00;CORDEIRO;AV CAXANGA;;LADO OPOSTO A FACULDADE IMACULADA CONCEIÇÃO DO RECIFE;COLISÃO TRASEIRA;ENTRE 3 AUTOS. S/V;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;03/04/2019;20:51:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;POR BAIXO DO VIADUTO TRANC NEVES;ABALROAMENTO LONGITUDINAL;ENTRE AUTO E ÕNIBUS. S/V;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;03/04/2019;21:41:00;BOA VIAGEM;RUA PROFESSOR JOAO MEDEIROS;;AO LADO DO RESTAURANTE PAPA-CAPIM;COLISÃO TRASEIRA;SANDERO X CITROEN C3;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;04/04/2019;00:53:00;BOA VISTA;AV CONDE DA BOA VISTA;;;ABALROAMENTO TRANSVERSAL;COLISÃO AUTO E ONIBUS;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;04/04/2019;06:17:00;PRADO;AV ENGENHEIRO ABDIAS DE CARVALHO;;EM FRENTE A GRANVIA;COLISÃO TRASEIRA;SEM VITiMAS;3;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/04/2019;07:14:00;BOMBA DO HEMETÉRIO;RUA BOMBA DO HEMETERIO;155;EM FRENTE A EDVALDO BEBIDAS. PARADA DE ÔNIBUS Nº 120029;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE AUTOMÓVEL, ÔNIBUS E MOTOCICLETA.;1;1;;;;1;;;;1;
COLISÃO TRASEIRA;FINALIZADA;04/04/2019;07:15:00;CASA AMARELA;AV NORTE;;;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO FRONTAL;FINALIZADA;04/04/2019;07:22:00;CIDADE UNIVERSITÁRIA;RUA DEPUTADO CUNHA RABELO;273;COLÉGIO GERAÇÃO;COLISÃO FRONTAL;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/04/2019;08:02:00;MADALENA;AV VISCONDE DE ALBUQUERQUE;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/04/2019;08:36:00;ENGENHO DO MEIO;RUA ANTONIO CURADO;35;;ABALROAMENTO LONGITUDINAL;CAMINHAO E AUTO PASSEIO;1;;;;;;1;;;0;
COLISÃO;CANCELADA;04/04/2019;08:48:00;TORRE;RUA PADRE ANCHIETA;;EM FRENTE A LANCHONETE CONFRARIA DO SANDUBA;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/04/2019;09:37:00;BOA VIAGEM;AV DES JOSE NEVES;;SEMÁFORO DE Nº 476;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/04/2019;09:42:00;CAJUEIRO;AV CIDADE DE MONTEIRO;;EM FRENTE A PARADA DE ÔNBUS DE Nº 130307;ABALROAMENTO LONGITUDINAL;ONIBUS E AUTO PASSEIO;1;;;;;1;;;;0;
COLISÃO;CANCELADA;04/04/2019;09:43:00;TORRE;RUA JOSE BONIFACIO;621;AO LADO DE MONICA CABELEREIRO;COLISÃO;SEM VITIMAS;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;04/04/2019;10:18:00;IMBIRIBEIRA;RUA ITAJAI;162;RUA DO INOVE;ABALROAMENTO TRANSVERSAL;MOTO / AUTO PASSEIO;1;1;;;;;;;;1;
COLISÃO;CANCELADA;04/04/2019;10:33:00;BOA VIAGEM;RUA SA E SOUZA;725;EM FRENTE AO EMPRESARIAL SÁ E SOUZA;COLISÃO;SEM VITIMAS;;1;;;;;1;;;0;
COLISÃO FRONTAL;FINALIZADA;04/04/2019;10:56:00;PINA;PTE GOVERNADOR PAULO GUERRA;;AO LADO DA COMPESA;COLISÃO FRONTAL;COLISÃO SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;04/04/2019;11:17:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;EM FRENTE AO HOSPITAL DA RESTAURAÇAO ( EMERGÊNCIA CLÍNICA);COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;04/04/2019;11:39:00;BOA VISTA;RUA BARAO DE SAO BORJA;308;;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;04/04/2019;12:02:00;TORRE;RUA PADRE LANDIM;;POR TRAZ DA IGREJA DA TORRE/ ESCOLA MUNICIPAL PAROQUIAL CRISTOVÃO REI;COLISÃO;COLISÃO SEM VITIMA;1;;;;;;1;;;0;
COLISÃO;CANCELADA;04/04/2019;12:03:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;PROX AO RESTAURANTE SPETTUS PISTA LOCAL;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;04/04/2019;13:12:00;BOA VIAGEM;AVENIDA CELSO FURTADO (VIA MANGUE);75;TUNEL DO CANAL;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;3;;;;;;;;;0;
COLISÃO;CANCELADA;04/04/2019;14:21:00;BOMBA DO HEMETÉRIO;RUA BOMBA DO HEMETERIO;560;PARAIBA DAS AGUAS (DEPOSITO DE AGUA0;COLISÃO;COLISAO SEM VITIMA;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;04/04/2019;13:27:00;DERBY;RUA BENFICA;;;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;04/04/2019;13:50:00;TORRE;AV BEIRA RIO;650;EM FRENTE AO EDF PASARGADA;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;2;;;;;;;;;0;
